# provenance: campaign=A sarimax_commit=aa68d57 sarimax_tree=clean julia=1.9.4 platform=Windows-x86_64 source_file=m4_innov_yearly.csv
# Solver versions and harness repository state were not captured at run time; see REPRODUCE.md for the reconstruction and its evidence.
# original header: freq,series,T,p,d,q,P,D,Q,smape,mase,mase_den,prev_neg,tempo,solver,status,forecast,actual
freq,series,T,p,d,q,P,D,Q,smape,mase,mase_den,forecast_negative,seconds,solver_status,status,forecast,actual,campaign,sarimax_commit,sarimax_tree,harness_commit,harness_tree,julia,moi,ipopt,jump,platform,source_file
"yearly",18315,29,0,1,0,0,0,0,16.7282,5.557,229.642857,0,49.22,"LOCALLY_SOLVED","OK","6109.642857;6299.285714;6488.928571;6678.571429;6868.214286;7057.857143","6100.0;7120.0;7540.0;8020.0;8770.0;9590.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_yearly.csv"
"yearly",6857,40,0,2,2,0,0,0,3.9099,1.8287,93.147179,0,51.08,"LOCALLY_SOLVED","OK","3939.53587;4025.719197;4111.902525;4198.085852;4284.26918;4370.452507","3885.8;3958.5;4178.65;4405.25;4574.48;4707.42","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_yearly.csv"
"yearly",21123,27,0,1,0,0,0,0,54.4154,2.8576,743.173077,0,0.09,"LOCALLY_SOLVED","OK","2543.4;2543.4;2543.4;2543.4;2543.4;2543.4","2739.4;4887.9;4374.4;4549.9;4306.4;7144.6","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_yearly.csv"
"yearly",19804,28,0,1,0,0,0,0,24.1029,7.1917,161.418723,0,0.07,"LOCALLY_SOLVED","OK","3738.97201;3850.542919;3962.113829;4073.684739;4185.255648;4296.826558","3878.89482;4495.87903;5153.22381;5585.97871;5906.59683;6052.05615","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_yearly.csv"
"yearly",14995,21,1,0,0,0,0,0,5.8873,1.4846,374.5,0,0.19,"LOCALLY_SOLVED","OK","9150.269273;9185.028719;9209.063661;9225.682983;9237.174664;9245.120759","9300.0;8660.0;8790.0;9570.0;10000.0;10380.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_yearly.csv"
"yearly",15189,31,0,1,0,0,0,0,1.2734,0.387,279.534402,0,0.08,"LOCALLY_SOLVED","OK","7869.276667;8088.853333;8308.43;8528.006667;8747.583333;8967.16","7925.8;7965.14244;8387.241932;8535.024565;8706.738927;8625.042737","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_yearly.csv"
"yearly",20732,18,0,1,0,0,0,0,59.9668,4.1798,407.947059,0,0.09,"LOCALLY_SOLVED","OK","1629.5;1629.5;1629.5;1629.5;1629.5;1629.5","1834.8;3208.7;1858.3;3578.0;5290.4;4237.6","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_yearly.csv"
"yearly",20817,20,0,1,0,0,0,0,3.7298,1.0749,76.052632,0,0.21,"LOCALLY_SOLVED","OK","2062.073684;2134.347368;2206.621053;2278.894737;2351.168421;2423.442105","1964.1;2024.9;2242.7;2224.6;2283.6;2298.3","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_yearly.csv"
"yearly",5504,40,0,2,1,0,0,0,12.6652,6.1428,64.474359,0,0.09,"LOCALLY_SOLVED","OK","2832.976478;2998.452955;3163.929433;3329.40591;3494.882388;3660.358865","2770.8;2718.7;2781.0;2884.3;2947.2;3001.7","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_yearly.csv"
"yearly",11262,24,0,1,0,0,0,0,3.9872,2.7011,69.547826,0,50.63,"LOCALLY_SOLVED","OK","4489.008696;4523.817391;4558.626087;4593.434783;4628.243478;4663.052174","4517.5;4703.6;4715.0;4811.3;4893.5;4942.4","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_yearly.csv"
